case,def_past,def_pres,def_fut,think_pas,think_pre,think_fut,import_pas_pre_fu,relation_pas_pre_fut,tbf1,tbf2,tbf3,tbf4,tbf5,tbf6,tbf7,tbf8,tbf9,aatas1,aatas2,aatas3,aatas4,aatas5,aatas6,aatas7,aatas8,aatas9,aatas10,aatas11,aatas12,aatas13,aatas14,aatas15,aatas16,aatas17,aatas18,aatas19,aatas20,aatas21,aatas22,aatas23,aatas24,aatas25,aatas26,aatas27,aatas28,aatas29,aatas30,sls1,sls2,sls3,sls4,sls5,sls6,sls7,pps1,pps2,pps3,pps4,pps5,pps6,pps7,pps8,pps9,pps10,pps11,pps12,gdms1,gdms2,gdms3,gdms4,gdms5,gdms6,gdms7,gdms8,gdms9,gdms10,gdms11,gdms12,gdms13,gdms14,gdms15,gdms16,gdms17,gdms18,gdms19,gdms20,gdms21,gdms22,gdms23,gdms24,gdms25,pss1,pss2,pss3,pss4,pss5,pss6,pss7,pss8,pss9,pss10,ysrs1,ysrs2,ysrs3,ysrs4,ysrs5,ysrs6,ysrs7,ysrs8,ysrs9,ysrs10,ysrs11,ysrs12,ysrs13.a,ysrs13.b,ysrs13.c,age,sex,race,income,edu,edu.father,edu.mother
1,"As my story and roots of my existence, involving good and bad experiences",Internship contracting the present.,"Opportunity not yet explored, desired.",4,4,4,6,4,2,3,4,2,3,2,4,2,3,4,3,5,2,3,1,4,3,5,1,2,3,4,2,1,2,4,1,4,4,4,3,3,4,3,4,1,4,4,5,3,1,3,3,4,4,3,2,4,2,5,4,4,4,4,5,4,3,2,3,4,2,2,4,3,6,4,4,2,4,2,4,3,3,5,4,4,3,2,3,4,4,2,2,2,2,4,2,1,2,2,4,2,2,-4,4,4,3,-3,-3,3,3,4,4,3,2,help with communication,"Decrease of problems, solutions and campaigns on networks",Avoid using straws,18,2,2,4,6,5,4
2,I define it as events that have already happened that I can or cannot remember,"The past is of paramount importance for our development, through it I can correct my mistakes, to be better in the future.",I define it as what may or may not occur,4,4,4,6,4,4,2,3,4,4,4,4,4,5,5,4,5,2,4,1,5,2,5,1,2,5,5,4,2,1,4,1,5,4,5,1,2,4,1,4,2,5,4,4,4,1,5,2,4,4,4,1,2,2,5,4,5,5,5,4,2,1,2,4,4,2,1,2,2,4,5,2,4,4,4,4,2,4,4,4,4,2,2,2,4,4,4,2,2,3,1,3,3,3,3,3,1,0,-4,3,4,4,-3,-2,4,4,2,4,2,2,Decrease the use of straws,Decrease the use of cups,Decrease the use of plastic bags and reuse,19,1,5,3,6,3,3
3,something that already happened,"Something that already happened, that now only remains memories.",something that will happen,4,4,4,6,3,2,2,2,3,2,2,3,3,1,4,3,5,3,3,1,4,3,4,5,2,4,4,3,2,2,3,3,4,3,4,3,3,4,3,3,3,4,4,4,3,1,5,3,4,1,2,3,2,4,2,3,4,4,4,3,2,1,3,4,4,2,3,4,2,4,4,4,3,4,4,4,3,2,4,4,4,,,,4,4,2,3,1,1,2,2,3,3,1,1,2,1,-2,-3,2,-4,-1,-1,0,2,4,3,0,0,,,,19,1,2,1,6,2,2
4,Things that have occurred to me,It's past actions that result in our present.,What will happen to me as a result of my actions,4,4,4,6,4,4,3,4,3,5,3,3,4,5,2,5,1,5,1,3,2,5,2,4,1,3,4,1,4,4,1,5,4,5,2,1,5,1,5,2,5,2,5,5,5,5,2,2,5,2,5,3,2,3,4,,4,4,4,5,2,1,1,5,5,2,2,4,3,4,5,4,2,5,4,5,1,2,4,5,4,3,3,4,5,2,3,2,0,4,4,4,2,4,1,2,2,2,-4,4,4,4,-4,-4,4,4,4,4,4,4,,,,18,2,2,5,6,5,5
5,"It doesn't belong to me, what happened",Like the best time of my life.,"Uncertain, I do not possess, what is yet to come",4,4,4,2,4,4,1,4,1,3,2,2,3,3,3,1,4,5,2,3,1,5,5,5,2,4,5,2,1,5,2,3,1,4,4,1,4,4,4,,3,2,1,5,5,5,2,3,5,4,3,2,2,2,2,3,4,2,2,3,2,1,1,3,3,2,3,4,4,3,4,3,3,4,4,3,2,2,3,3,4,3,3,4,4,4,2,2,0,0,0,3,3,1,3,1,0,0,-4,3,4,4,-4,-4,4,4,4,3,1,1,,,,18,2,3,2,6,4,5
6,What I've lived,"I think it may be an aspect that may or may not influence both the present and the future, it will depend on each person's persp",What will I live,4,4,4,6,3,4,4,5,5,4,1,3,5,4,5,1,4,,5,2,5,2,5,1,5,2,5,5,2,1,5,1,5,1,4,1,1,4,1,5,2,4,2,3,5,1,3,2,5,2,3,2,2,2,4,4,4,4,4,4,2,2,2,3,3,1,2,4,2,2,5,4,4,4,5,3,2,2,4,4,5,2,2,5,5,5,3,2,1,0,2,3,3,3,2,3,2,1,-4,4,4,4,-4,-2,4,4,-4,2,3,3,garbage collection separat,friends awareness,reduction,19,2,2,5,6,5,4
7,"I define the past as what has already happened. I have no power over what has passed, but the past influences me",Memoirs,What I want and look for,4,4,4,3,3,4,3,1,1,3,2,5,3,1,5,5,3,1,3,2,5,4,5,1,3,5,5,2,4,1,2,1,5,5,4,1,5,1,1,2,4,5,3,3,2,3,5,3,5,4,5,1,3,3,3,3,2,4,5,2,1,1,3,5,5,3,2,2,4,4,4,3,1,5,5,4,3,1,5,3,3,3,4,5,5,3,4,5,2,3,4,3,2,0,0,1,4,2,-4,4,4,4,-2,-4,-2,4,4,4,0,0,,,,18,2,2,4,6,3,4
8,As moments that were of such importance to define what is happening and what will happen.,"I went through complications, but everything was fine.",What's to come.,4,3,4,7,4,4,2,2,2,3,4,5,3,4,3,4,5,3,3,1,3,4,5,3,3,1,3,3,1,3,3,1,3,4,5,2,4,4,1,2,1,3,2,5,4,2,3,3,4,3,4,5,5,5,3,3,1,5,4,5,4,2,3,5,5,5,2,3,3,3,2,3,4,4,2,2,5,4,4,2,3,4,2,2,4,2,1,2,4,4,4,1,2,3,2,4,4,3,-4,4,4,4,-4,-4,3,4,4,4,4,3,,,,19,2,5,3,6,4,3
9,Something that built my being until now. A construction process.,Previous moments that may be older than the most recent.,Something that we yearn to be something wonderful but we don't remember that it is a reflection of our past/present.,4,4,4,7,4,3,4,4,3,1,2,3,3,3,5,4,5,1,5,5,5,3,3,1,2,5,5,5,5,1,3,5,5,5,5,1,3,2,1,3,5,5,5,5,4,1,5,5,5,4,4,4,3,5,5,2,5,5,5,5,5,5,3,5,4,1,3,5,1,3,5,5,5,5,5,3,3,3,5,1,5,4,1,5,5,5,3,3,2,4,4,4,2,2,0,2,4,1,-4,4,4,4,-4,-4,4,4,4,4,4,4,,,,18,2,2,4,6,3,2
10,The past is something that defines today.,"With many regrets, things I shouldn't have done or done differently. I cannot change.",The future is the mystery.,3,4,4,6,2,2,1,3,2,1,3,2,2,3,4,4,3,2,2,5,3,4,3,3,2,5,3,4,2,5,4,5,3,4,3,5,4,1,3,3,4,3,4,3,3,2,4,4,3,1,1,3,4,4,5,4,4,4,5,5,5,4,4,3,3,2,4,3,4,2,5,4,4,3,5,2,4,5,3,4,5,4,4,3,4,5,4,5,4,4,3,1,0,2,1,0,4,3,-4,2,4,3,-4,-4,-1,3,4,4,3,2,,,,19,1,4,2,6,3,2
